dilution	ct	ct2
1	17.27	17.27
1	17.49	17.49
1	17.23	17.23
1	17.46	17.46
1	17.36	17.36
1	17.49	17.49
1	17.23	17.23
1	17.33	17.33
0.01	25.35	25.35
0.01	25.06	25.06
0.01	25.34	25.34
0.01	25.81	25.81
0.01	25.7	25.7
0.01	25.16	25.16
0.01	25.29	25.29
0.01	25.63	25.63
0.0001	30.45	30.45
0.0001	30.6	30.6
0.0001	30.3	30.3
0.0001	28.42	28.42
0.0001	30.01	30.01
0.0001	28.55	28.55
0.0001	30.98	30.98
0.0001	29.53	29.53
0.000001	32.76	NA
0.000001	34.23	NA
0.000001	33.11	NA
0.000001	35.32	NA
0.000001	34.55	NA
0.000001	35.54	NA
0.000001	35.3	NA
0.000001	34.88	NA
