dilution	ct	ct2
1	16.98	16.98
1	16.61	16.61
1	16.5	16.5
1	17.22	17.22
1	17.06	17.06
1	17.03	17.03
1	16.65	16.65
1	16.52	16.52
1	16.7	16.7
0.01	24.28	24.28
0.01	23.72	23.72
0.01	24.29	24.29
0.01	24.45	24.45
0.01	24.62	24.62
0.01	23.77	23.77
0.01	24.03	24.03
0.01	23.91	23.91
0.0001	31.01	31.01
0.0001	31.34	31.34
0.0001	32.33	32.33
0.0001	32.83	32.83
0.0001	32.01	32.01
0.0001	30.91	30.91
0.0001	31.04	31.04
0.0001	31.01	31.01
0.000001	36.79	NA
0.000001	34.71	NA
