dilution	ct	ct2
1	14.59	14.59
1	14.78	14.78
1	14.99	14.99
1	15.55	15.55
1	15.79	15.79
1	15.21	15.21
1	15.08	15.08
1	15.15	15.15
1	15.23	15.23
1	15.22	15.22
1	15.29	15.29
1	15.8	15.8
1	16.32	16.32
1	15.94	15.94
1	16.06	16.06
1	15.08	15.08
1	14.98	14.98
0.01	23.58	23.58
0.01	23.75	23.75
0.01	23.68	23.68
0.01	25.88	25.88
0.01	26.78	26.78
0.01	24.98	24.98
0.01	25.27	25.27
0.01	25.2	25.2
0.01	25.11	25.11
0.01	24.28	24.28
0.01	23.93	23.93
0.01	24.25	24.25
0.01	25.71	25.71
0.01	25.47	25.47
0.01	25.94	25.94
0.01	24.65	24.65
0.01	25.16	25.16
0.01	24.95	24.95
0.0001	30.84	30.84
0.0001	31.74	31.74
0.0001	32.85	32.85
0.0001	33.15	33.15
0.0001	32.11	32.11
0.0001	33.48	33.48
0.0001	33.47	33.47
0.0001	32.83	32.83
0.0001	34.08	34.08
0.0001	32.45	32.45
0.0001	30.88	30.88
0.0001	30.89	30.89
0.0001	33.93	33.93
0.0001	33.01	33.01
0.0001	32.81	32.81
0.0001	33.26	33.26
0.0001	31.45	31.45
0.000001	34.56	NA
0.000001	35.24	NA
0.000001	36.78	NA
0.000001	35.37	NA
0.000001	35.52	NA
0.000001	33.1	NA
