Allele	y	x	y2	y3	y4
S01	0.458819971	1	1.05463177394934	0.952041779780755	1.00378587134827
S01	0.493717304	2	1.13484588522195	1.02445301102361	1.0801327002293
S01	0.036943482	3	0.0849173366900486	0.0766569473380187	0.0808233024146394
S01	0.010519243	4	0.0241792611631853	0.0218272077517442	0.0230135307268026
S03	0.200650751	1	0.461210650901236	0.416346083802845	0.438974764961178
S03	0.16414983	2	0.377310573532951	0.3406074412221	0.359119677766207
S03	0.419140857	3	0.963426383967394	0.869708453639022	0.916977675240307
S03	0.216058561	4	0.496626646324361	0.448316965155182	0.472683284563562
S04	0.5157122	1	1.18540278695348	1.07009195714074	1.12825215282953
S04	0.304023524	2	0.698820645796275	0.630842411356538	0.665129107792719
S04	0.130874984	3	0.300825869110895	0.271562836344231	0.286322453588514
S04	0.049389292	4	0.113524955163867	0.102481741052617	0.108051690508245
S10	0.455359007	1	1.04667649119445	0.944860352348257	0.996214128651731
S10	0.29464806	2	0.677270445598215	0.61138852094855	0.644617885754971
S10	0.211172051	3	0.485394640231668	0.438177559786281	0.461992795900848
S10	0.038820881	4	0.0892326777016122	0.0805525107360614	0.0849305922237035
S12	0.537589492	1	1.23568936715809	1.11548687743392	1.17611431664315
S12	0.229916686	2	0.528480575699989	0.477072282759751	0.503001472431583
S12	0.194848591	3	0.447873955290099	0.404306723962136	0.426281058062134
S12	0.037645231	4	0.0865303588763413	0.078113061738321	0.0823585575821456
S29	0.442182334	1	1.01638892984342	0.917519033296326	0.967386791079766
S29	0.269355619	2	0.619133891818304	0.558907238383281	0.589284211258684
S29	0.243900212	3	0.560622748586022	0.506087804799115	0.533594007015112
S29	0.044561835	4	0.102428686776774	0.0924648694154081	0.0974903953654467
