dilution	ct	ct2
1	13.35	13.35
1	13.31	13.31
1	13.49	13.49
1	13.74	13.74
1	14.04	14.04
1	13.75	13.75
1	15.73	15.73
1	15.59	15.59
1	15.61	15.61
0.01	20.77	20.77
0.01	21.02	21.02
0.01	19.82	19.82
0.01	22.51	22.51
0.01	20.8	20.8
0.01	20.37	20.37
0.01	22.49	22.49
0.01	22.14	22.14
0.01	22.07	22.07
0.0001	26.99	26.99
0.0001	29.14	29.14
0.0001	29.85	29.85
0.0001	30.79	30.79
0.0001	31.67	31.67
0.0001	31.14	31.14
0.0001	32.12	32.12
0.0001	32.82	32.82
0.0001	33.68	33.68
0.000001	31.84	NA
0.000001	32.25	NA
0.000001	33.77	NA
0.000001	31.8	NA
