genot	allele_measured	Other_allele_inGenot	Ct	RéplicatBiol_génotype	réplicat_Techclone	stade	recc_geno	recc_tech	recc_alle	x	info	Ct2
SCR01_SCR04	SCR01	SCR04	0.000274672481613479	348-4	4	D	4	1	1	4.1	NA	0.0224767224702061
SCR01_SCR04	SCR01	SCR04	1.07666435700047E-06	74-1	12	C	4	2	1	4.2	NA	0.0000881045156169548
SCR01_SCR04	SCR01	SCR04	1.18227739328288E-06	74-1	12	C	4	2	1	4.2	NA	0.0000967469354611677
SCR01_SCR04	SCR01	SCR04	0.000214015068680673	74-1	12	C	4	2	1	4.2	NA	0.0175130660156439
SCR01_SCR04	SCR01	SCR04	9.97624339859512E-07	74-1	12	D	4	2	1	4.2	NA	0.0000816365923693044
SCR01_SCR04	SCR01	SCR04	9.30816422249054E-07	74-1	12	D	4	2	1	4.2	NA	0.000076169633997203
SCR01_SCR04	SCR01	SCR04	0.000173834252392221	74-1	12	D	4	2	1	4.2	NA	0.0142250298387517
SCR01_SCR04	SCR01	SCR04	1.67422875849962E-07	132-1	69	C	4	3	1	4.3	NA	0.0000137003805169637
SCR01_SCR04	SCR01	SCR04	2.07555428337126E-07	132-1	69	C	4	3	1	4.3	NA	0.0000169844672189739
SCR01_SCR04	SCR01	SCR04	0.0000459364852115193	132-1	69	C	4	3	1	4.3	NA	0.00375902829177111
SCR01_SCR04	SCR01	SCR04	3.36724470630896E-06	132-1	69	D	4	3	1	4.3	NA	0.000275544984733786
SCR01_SCR04	SCR01	SCR04	2.50805427590384E-06	132-1	69	D	4	3	1	4.3	NA	0.000205236576917205
SCR01_SCR04	SCR01	SCR04	0.000025840616222001	132-1	69	D	4	3	1	4.3	NA	0.00211456333692119
SCR01_SCR10	SCR01	SCR10	7.16798972483834E-06	42-2	11	C	5	1	1	5.1	$	0.000586563731350415
SCR01_SCR10	SCR01	SCR10	5.83000315519365E-07	42-2	11	C	5	1	1	5.1	$	0.0000477074959056558
SCR01_SCR10	SCR01	SCR10	0.000115485552578808	42-2	11	C	5	1	1	5.1	$	0.00945029767592446
SCR01_SCR10	SCR01	SCR10	2.93135677583315E-06	42-2	11	D	5	1	1	5.1	$	0.000239875841673419
SCR01_SCR10	SCR01	SCR10	4.06567998775462E-07	42-2	11	D	5	1	1	5.1	$	0.0000332698638759257
SCR01_SCR10	SCR01	SCR10	0.000071089696439725	42-2	11	D	5	1	1	5.1	$	0.00581734059408042
SCR01_SCR10	SCR01	SCR10	7.34401278001215E-06	42-2	32	C	5	2	1	5.2	$	0.000600967873098648
SCR01_SCR10	SCR01	SCR10	5.99390685330308E-07	42-2	32	C	5	2	1	5.2	$	0.0000490487361757424
SCR01_SCR10	SCR01	SCR10	2.25256473813921E-06	42-2	32	C	5	2	1	5.2	$	0.000184329613829225
SCR01_SCR10	SCR01	SCR10	1.77583392038668E-07	42-2	32	D	5	2	1	5.2	$	0.0000145318256664234
SCR01_SCR10	SCR01	SCR10	5.83000315519365E-07	42-2	32	D	5	2	1	5.2	$	0.0000477074959056558
SCR01_SCR10	SCR01	SCR10	0.0000931554692969093	42-2	32	D	5	2	1	5.2	$	0.0076230047424805
SCR01_SCR12	SCR01	SCR12	0.000159406712291127	183-6	1	C	6	1	1	6.1	NA	0.0130444098768423
SCR01_SCR12	SCR01	SCR12	0.0000485556935885571	183-6	1	C	6	1	1	6.1	NA	0.0039733607193827
SCR01_SCR12	SCR01	SCR12	0.00103942400630211	183-6	1	C	6	1	1	6.1	NA	0.0850571006650701
SCR01_SCR12	SCR01	SCR12	0.0000425641988021973	183-6	1	D	6	1	1	6.1	NA	0.00348307073946326
SCR01_SCR12	SCR01	SCR12	0.0000293760511200485	183-6	1	D	6	1	1	6.1	NA	0.00240387149239458
