dilution	ct	ct2
1	18.3	18.3
1	18.06	18.06
1	17.86	17.86
1	18.08	18.08
1	18.15	18.15
1	18.54	18.54
1	18.02	18.02
1	18.07	18.07
1	18.09	18.09
0.01	26.74	26.74
0.01	26.44	26.44
0.01	26.43	26.43
0.01	26.51	26.51
0.01	26.74	26.74
0.01	26.64	26.64
0.01	26.44	26.44
0.01	26.22	26.22
0.01	26.92	26.92
0.0001	40	40
0.0001	40	40
0.0001	40	40
0.0001	40	40
0.0001	35.84	35.84
0.0001	40	40
0.0001	35.1	35.1
0.000001	40	NA
