Allele	y	x	y2	y3
S01	0.000238131	1	0.000621090406129841	0.000373703760248631
S01	0.03536029	2	0.0922262824956387	0.0554916131729261
S01	0.651045173	3	1.69804817897478	1.02169826373643
S01	0.313356407	4	0.817292406645996	0.491756502067771
S02	0.0000116816	1	0.0000304678084258091	0.0000183321694601728
S02	0.021459038	2	0.0559692044571084	0.0336760992559485
S02	0.471331124	3	1.22932016086437	0.739669397772713
S02	0.507198157	4	1.32286812434936	0.79595625291153
S03	0.011500086	1	0.0299943857971793	0.0180473158949597
S03	0.011062971	2	0.0288543077188298	0.0173613425476799
S03	0.411372879	3	1.07293778839761	0.645575719862618
S03	0.566064063	4	1.47640147139254	0.888335701293481
S04	0.015247747	1	0.0397689900802292	0.02392859555967
S04	0.120004674	2	0.312994745380228	0.188325744742227
S04	0.657941076	3	1.71603399012453	1.03252014279212
S04	0.206806503	4	0.539390230329365	0.324545598074043
S10	0.000067654	1	0.00017645434796943	0.000106170780771344
S10	0.023451053	2	0.0611647539881091	0.0368022083974365
S10	0.175796846	3	0.45851121642493	0.275881520633809
S10	0.800684447	4	2.08833553115334	1.25653018135604
S12	0.061063143	1	0.159264154122876	0.0958276165291368
S12	0.072959225	2	0.190291371917845	0.114496376898959
S12	0.637218635	3	1.66198596909118	1
S12	0.228758997	4	0.596646460782447	0.358996087739964
S13	0.003620891	1	0.00944396429587867	0.0056823369580207
S13	0.123340438	2	0.321695044868801	0.193560626173464
S13	0.667499454	3	1.74096403650221	1.04752029733092
S13	0.205539217	4	0.536084910247466	0.322556820705659
S20	0.006700095	1	0.017475107082482	0.0105145936292337
S20	0.095183883	2	0.248257457237761	0.149373978995451
S20	0.694906908	3	1.81244782792728	1.09053136526681
S20	0.203209114	4	0.530007563666827	0.318900143276569
S29	0.029525706	1	0.0770085907790681	0.0463352833364643
S29	0.010786664	2	0.0281336471292949	0.0169277284240126
S29	0.540632976	3	1.41007241657333	0.84842618577845
S29	0.419054654	4	1.09297330143266	0.657630883629133
