ct	dilution
22.61	0.0001
23.03	0.0001
23.01	0.0001
23.30	0.0001
22.20	0.0001
22.81	0.0001
23.27	0.0001
22.94	0.0001
24.04	0.00005
24.34	0.00005
24.35	0.00005
24.12	0.00005
24.53	0.00005
24.43	0.00005
24.55	0.00005
24.21	0.00005
26.79	0.00001
26.52	0.00001
26.18	0.00001
25.82	0.00001
25.98	0.00001
26.44	0.00001
26.50	0.00001
25.93	0.00001
28.74	0.000005
27.61	0.000005
27.32	0.000005
27.54	0.000005
27.78	0.000005
27.92	0.000005
27.66	0.000005
27.46	0.000005
30.01	0.000001
28.59	0.000001
29.04	0.000001
29.29	0.000001
29.22	0.000001
28.97	0.000001
28.88	0.000001
29.35	0.000001
30.88	0.0000005
30.35	0.0000005
30.86	0.0000005
30.36	0.0000005
29.95	0.0000005
28.74	0.0000005
30.02	0.0000005
30.35	0.0000005
