dilution	ct	ct2
1	15.36	15.36
1	15.91	15.91
1	15.68	15.68
1	16.33	16.33
1	16.71	16.71
1	16.8	16.8
1	16.01	16.01
1	16.13	16.13
1	16.19	16.19
1	17.62	17.62
1	18.66	18.66
1	17.81	17.81
0.01	23.37	23.37
0.01	23.74	23.74
0.01	23.79	23.79
0.01	24.01	24.01
0.01	23.84	23.84
0.01	22.67	22.67
0.01	24.24	24.24
0.01	23.8	23.8
0.01	24.2	24.2
0.01	25.85	25.85
0.01	25.75	25.75
0.01	21.17	21.17
0.0001	32.53	32.53
0.0001	33.01	33.01
0.0001	31.93	31.93
0.0001	29.56	29.56
0.0001	29.31	29.31
0.0001	33.01	33.01
0.0001	32.54	32.54
0.0001	33.26	33.26
0.0001	31.85	31.85
0.0001	30.69	30.69
0.000001	30.5	NA
0.000001	40	NA
0.000001	33.47	NA
0.000001	33.63	NA
