ct	dilution
20.22	0.01
20.32	0.01
20.53	0.01
20.50	0.01
20.37	0.01
20.50	0.01
20.54	0.01
20.64	0.01
24.28	0.001
24.73	0.001
24.32	0.001
24.53	0.001
24.21	0.001
24.35	0.001
24.58	0.001
24.46	0.001
25.82	0.0001
25.85	0.0001
25.95	0.0001
25.80	0.0001
25.91	0.0001
25.77	0.0001
25.72	0.0001
25.88	0.0001
28.33	0.00001
28.06	0.00001
28.27	0.00001
28.23	0.00001
28.22	0.00001
28.08	0.00001
28.20	0.00001
27.80	0.00001
29.83	0.000001
29.90	0.000001
29.83	0.000001
29.92	0.000001
30.15	0.000001
30.23	0.000001
29.64	0.000001
30.09	0.000001
31.84	0.0000001
31.97	0.0000001
31.61	0.0000001
32.08	0.0000001
31.56	0.0000001
31.68	0.0000001
31.74	0.0000001
32.52	0.0000001
34.00	0.00000001
34.74	0.00000001
34.01	0.00000001
33.79	0.00000001
33.59	0.00000001
34.21	0.00000001
33.53	0.00000001
34.89	0.00000001
