dilution	ct	ct2
1	15.6	15.6
1	15.73	15.73
1	15.68	15.68
1	15.65	15.65
1	16.02	16.02
1	15.79	15.79
1	15.53	15.53
1	15.61	15.61
0.01	24.64	24.64
0.01	23.7	23.7
0.01	24.19	24.19
0.01	23.73	23.73
0.01	23.74	23.74
0.01	23.7	23.7
0.01	23.27	23.27
0.01	23.71	23.71
0.0001	31.53	31.53
0.0001	31.13	31.13
0.0001	30.97	30.97
0.0001	32.29	32.29
0.0001	31.76	31.76
0.0001	30.1	30.1
0.0001	30.34	30.34
0.0001	30.77	30.77
0.000001	31.98	NA
0.000001	31.54	NA
0.000001	30.89	NA
0.000001	28.11	NA
0.000001	30.72	NA
0.000001	30.23	NA
0.000001	30.6	NA
0.000001	29.94	NA
