ct	dilution
8.51	1
8.53	1
8.73	1
8.72	1
8.53	1
8.49	1
8.51	1
9.07	1
17.22	0.01
16.81	0.01
17.18	0.01
17.34	0.01
17.19	0.01
17.09	0.01
17.14	0.01
17.78	0.01
29.22	0.0001
28.55	0.0001
28.96	0.0001
29.25	0.0001
28.48	0.0001
29.69	0.0001
27.06	0.0001
27.72	0.0001
29.73	0.000001
29.99	0.000001
28.55	0.000001
30.44	0.000001
29.07	0.000001
29.31	0.000001
28.79	0.000001
28.85	0.000001
