ct	dilution
11.13	0.1
11.13	0.1
11.57	0.1
11.07	0.1
11.49	0.1
11.35	0.1
11.32	0.1
16.05	0.01
16.08	0.01
16.04	0.01
16.03	0.01
16.01	0.01
16.48	0.01
16.25	0.01
16	0.01
20.46	0.001
20.52	0.001
20.48	0.001
20.43	0.001
20.21	0.001
20.51	0.001
20.28	0.001
20.13	0.001
26.93	0.0001
27.8	0.0001
27.25	0.0001
27.77	0.0001
26.84	0.0001
27.24	0.0001
26.95	0.0001
27.25	0.0001
31.56	0.00001
31.43	0.00001
31.75	0.00001
31.59	0.00001
31.44	0.00001
30.87	0.00001
30.9	0.00001
