dilution	ct	ct2
1	13.65	13.65
1	13.62	13.62
1	12.65	12.65
1	13.5	13.5
1	13.37	13.37
1	13.48	13.48
1	13.67	13.67
1	13.5	13.5
0.01	22.13	22.13
0.01	22.35	22.35
0.01	20.93	20.93
0.01	22.25	22.25
0.01	21.81	21.81
0.01	21.92	21.92
0.01	21.92	21.92
0.01	22.01	22.01
0.0001	27.24	27.24
0.0001	26.9	26.9
0.0001	25.86	25.86
0.0001	26.95	26.95
0.0001	26.84	26.84
0.0001	26.74	26.74
0.0001	26.77	26.77
0.0001	26.75	26.75
0.000001	31.29	NA
0.000001	30.93	NA
0.000001	30.72	NA
0.000001	31.24	NA
0.000001	30.66	NA
0.000001	31.13	NA
0.000001	31.61	NA
0.000001	30.79	NA
